ApsimVersion = 7.10
Title = Silt rice residue field
           Date           year            day           rain            esw             es         runoff          drain          no3()   dlt_n_min(1)   dlt_n_min(2)   dlt_n_min(3)   dlt_n_min(4)   dlt_n_min(5)   dlt_n_min(6)   surfaceom_wt surfaceom_cover
   (dd/mm/yyyy)         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)       (m^2/m^2)
     06/05/2001           2001            126          1.000        140.747          2.640          0.000          0.000           44.4            0.7            0.2            0.1            0.0            0.0            0.0          906.5           0.364
     07/05/2001           2001            127          0.000        139.652          1.095          0.000          0.000           45.0            0.6            0.2            0.1            0.0            0.0            0.0          882.9           0.357
     08/05/2001           2001            128         69.000        159.744          3.303         45.606          0.000           44.7            0.5            0.1            0.1            0.0            0.0            0.0          834.9           0.341
     09/05/2001           2001            129         54.000        172.615          3.574         37.555          0.000           44.4            0.5            0.1            0.1            0.0            0.0            0.0          789.5           0.326
     10/05/2001           2001            130          0.000        170.130          2.484          0.000          0.000           44.4            0.6            0.1            0.1            0.0            0.0            0.0          754.9           0.314
     11/05/2001           2001            131         43.000        181.483          3.599         28.048          0.000           44.3            0.5            0.1            0.1            0.0            0.0            0.0          713.8           0.300
     12/05/2001           2001            132         64.000        193.701          3.652         48.129          0.000           44.0            0.5            0.1            0.1            0.0            0.0            0.0          675.0           0.286
     13/05/2001           2001            133          0.000        190.279          3.422          0.000          0.000           44.2            0.6            0.1            0.1            0.0            0.0            0.0          648.4           0.277
     14/05/2001           2001            134          0.000        189.058          1.221          0.000          0.000           44.7            0.7            0.1            0.1            0.0            0.0            0.0          633.1           0.271
     15/05/2001           2001            135          0.000        188.114          0.944          0.000          0.000           45.3            0.7            0.2            0.1            0.0            0.0            0.0          626.2           0.269
     16/05/2001           2001            136          0.000        187.316          0.798          0.000          0.000           46.1            0.7            0.2            0.1            0.0            0.0            0.0          626.2           0.269
     17/05/2001           2001            137          0.000        186.612          0.704          0.000          0.000           47.1            0.8            0.2            0.1            0.0            0.0            0.0          626.2           0.269
     18/05/2001           2001            138          0.000        185.974          0.637          0.000          0.000           48.1            0.8            0.2            0.1            0.0            0.0            0.0          626.2           0.269
     19/05/2001           2001            139          0.000        185.388          0.587          0.000          0.000           49.2            0.8            0.2            0.1            0.0            0.0            0.0          626.2           0.269
     20/05/2001           2001            140         34.000        200.289          4.667         14.432          0.000           49.6            0.7            0.1            0.1            0.0            0.0            0.0          592.2           0.256
     21/05/2001           2001            141          0.000        197.883          2.406          0.000          0.000           50.2            0.8            0.2            0.1            0.0            0.0            0.0          567.4           0.247
     22/05/2001           2001            142          0.000        196.661          1.221          0.000          0.000           50.9            0.8            0.2            0.1            0.0            0.0            0.0          549.8           0.240
     23/05/2001           2001            143         33.000        207.426          4.052         18.183          0.000           51.1            0.7            0.1            0.1            0.0            0.0            0.0          519.9           0.229
     24/05/2001           2001            144         21.000        214.094          3.857         10.475          0.000           51.3            0.7            0.1            0.1            0.0            0.0            0.0          491.6           0.218
     25/05/2001           2001            145          3.000        213.405          3.680          0.009          0.000           51.6            0.7            0.1            0.1            0.0            0.0            0.0          466.3           0.208
     26/05/2001           2001            146          0.000        210.901          2.503          0.000          0.000           52.0            0.7            0.1            0.1            0.0            0.0            0.0          447.2           0.200
     27/05/2001           2001            147         30.000        219.768          4.267         16.866          0.000           52.2            0.6            0.1            0.1            0.0            0.0            0.0          422.9           0.191
     28/05/2001           2001            148          0.000        217.024          2.745          0.000          0.000           52.6            0.7            0.1            0.1            0.0            0.0            0.0          404.8           0.183
