ApsimVersion = 7.5
Title = Silt cowpea residue field
           Date           year            day           rain            esw             es         runoff          drain          no3()   dlt_n_min(1)   dlt_n_min(2)   dlt_n_min(3)   dlt_n_min(4)   dlt_n_min(5)   dlt_n_min(6)   surfaceom_wt surfaceom_cover
   (dd/mm/yyyy)         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)       (m^2/m^2)
     22/03/2001           2001             81          0.000         92.856          0.139          0.000          0.000           43.3            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     23/03/2001           2001             82          0.000         92.718          0.138          0.000          0.000           43.7            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     24/03/2001           2001             83          1.000         92.581          1.137          0.000          0.000           44.2            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     25/03/2001           2001             84          0.000         92.445          0.136          0.000          0.000           44.6            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     26/03/2001           2001             85          0.000         92.309          0.136          0.000          0.000           45.0            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     27/03/2001           2001             86          0.000         92.174          0.135          0.000          0.000           45.4            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     28/03/2001           2001             87          0.000         92.040          0.134          0.000          0.000           45.8            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     29/03/2001           2001             88          0.000         91.907          0.133          0.000          0.000           46.2            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     30/03/2001           2001             89          0.000         91.774          0.133          0.000          0.000           46.6            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     31/03/2001           2001             90          3.000         91.642          3.132          0.000          0.000           47.0            0.1            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     01/04/2001           2001             91          0.000         91.511          0.131          0.000          0.000           47.4            0.0            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     02/04/2001           2001             92          0.000         90.718          3.628          0.000          0.000           47.7            0.0            0.2            0.1            0.0            0.0            0.0         1219.9           0.216
     03/04/2001           2001             93          7.000         90.769          4.115          0.000          0.000           48.0            0.0            0.2            0.1            0.0            0.0            0.0         1097.9           0.197
     04/04/2001           2001             94          0.000         90.655          0.186          0.000          0.000           48.3            0.0            0.2            0.1            0.0            0.0            0.0         1014.8           0.184
     05/04/2001           2001             95          0.000         90.623          0.184          0.000          0.000           48.7            0.0            0.2            0.1            0.0            0.0            0.0          967.0           0.176
     06/04/2001           2001             96          0.000         90.590          0.183          0.000          0.000           49.0            0.0            0.2            0.1            0.0            0.0            0.0          948.6           0.173
     07/04/2001           2001             97          0.000         90.557          0.181          0.000          0.000           49.3            0.0            0.2            0.1            0.0            0.0            0.0          948.6           0.173
