ApsimVersion = 7.8
Title = Silt Fallow field
           Date           year            day           rain            esw             es         runoff          drain          no3()   dlt_n_min(1)   dlt_n_min(2)   dlt_n_min(3)   dlt_n_min(4)   dlt_n_min(5)   dlt_n_min(6)   surfaceom_wt surfaceom_cover
   (dd/mm/yyyy)         (year)          (day)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)       (m^2/m^2)
     11/04/2001           2001            101          0.000        180.738          0.189          0.000          0.000           67.0            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     12/04/2001           2001            102          0.000        180.551          0.187          0.000          0.000           67.5            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     13/04/2001           2001            103          0.000        180.365          0.186          0.000          0.000           68.0            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     14/04/2001           2001            104          0.000        180.180          0.185          0.000          0.000           68.6            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     15/04/2001           2001            105          0.000        179.997          0.183          0.000          0.000           69.1            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     16/04/2001           2001            106          0.000        179.815          0.182          0.000          0.000           69.6            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     17/04/2001           2001            107          0.000        179.635          0.181          0.000          0.000           70.1            0.2            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     18/04/2001           2001            108          0.000        179.455          0.179          0.000          0.000           70.5            0.1            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     19/04/2001           2001            109          2.000        179.277          2.178          0.000          0.000           71.0            0.1            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     20/04/2001           2001            110          0.000        179.101          0.177          0.000          0.000           71.5            0.1            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     21/04/2001           2001            111          0.000        178.925          0.176          0.000          0.000           72.0            0.1            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     22/04/2001           2001            112          0.000        178.751          0.174          0.000          0.000           72.5            0.1            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     23/04/2001           2001            113          1.000        178.578          1.173          0.000          0.000           73.0            0.1            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     24/04/2001           2001            114          0.000        178.406          0.172          0.000          0.000           73.5            0.1            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     25/04/2001           2001            115          0.000        178.235          0.171          0.000          0.000           74.0            0.1            0.2            0.1            0.0            0.0            0.0            0.0           0.000
     26/04/2001           2001            116          0.000        178.065          0.170          0.000          0.000           74.5            0.1            0.2            0.1            0.0            0.0            0.0            0.0           0.000
