ApsimVersion = 7.4
Title = Effluent-irrigated Eucalypt Forest Block
           Date            esw            lai   adm_green(1)   adm_green(2)   adm_green(3)             fw             fn         plants          no3()          nh4()           cl()          drain    no3_leached     irrigation irrigation_no3
   (dd/mm/yyyy)           (mm)        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)          (0-1)          (0-1)          (/ha)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)           (mm)        (kg/ha)
     16/04/1980        134.592          0.128           25.3            8.6            3.9          1.000          0.984       1111.000          199.6            1.3          650.0          0.000            0.0          0.000            0.0
     17/04/1980        134.149          0.131           26.5            9.0            4.0          1.000          0.984       1111.000          199.7            1.3          650.0          0.000            0.0          0.000            0.0
     18/04/1980        133.711          0.135           27.8            9.4            4.2          1.000          0.984       1111.000          199.8            1.3          650.0          0.000            0.0          0.000            0.0
     19/04/1980        133.318          0.137           28.6            9.7            4.4          1.000          0.984       1111.000          199.9            1.3          650.0          0.000            0.0          0.000            0.0
     20/04/1980        133.025          0.138           29.0            9.8            4.4          1.000          0.989       1111.000          200.0            1.3          650.0          0.000            0.0          0.000            0.0
     21/04/1980        132.615          0.141           30.1           10.2            4.6          1.000          0.996       1111.000          200.1            1.3          650.0          0.000            0.0          0.000            0.0
     22/04/1980        132.160          0.145           31.3           10.6            4.8          1.000          0.987       1111.000          200.2            1.3          650.0          0.000            0.0          0.000            0.0
     23/04/1980        131.703          0.148           32.7           11.1            5.0          1.000          0.985       1111.000          200.3            1.3          650.0          0.000            0.0          0.000            0.0
     24/04/1980        131.382          0.150           33.4           11.3            5.1          1.000          0.985       1111.000          200.4            1.3          650.0          0.000            0.0          0.000            0.0
     25/04/1980        130.976          0.154           34.6           11.7            5.3          1.000          0.992       1111.000          200.5            1.3          650.0          0.000            0.0          0.000            0.0
     26/04/1980        130.560          0.157           36.0           12.2            5.5          1.000          0.986       1111.000          200.5            1.2          650.0          0.000            0.0          0.000            0.0
     27/04/1980        130.130          0.161           37.5           12.7            5.7          1.000          0.986       1111.000          200.6            1.2          650.0          0.000            0.0          0.000            0.0
     28/04/1980        129.686          0.165           38.9           13.2            5.9          1.000          0.985       1111.000          200.6            1.2          650.0          0.000            0.0          0.000            0.0
     29/04/1980        129.266          0.169           40.4           13.7            6.2          1.000          0.985       1111.000          200.7            1.2          650.0          0.000            0.0          0.000            0.0
     30/04/1980        128.829          0.173           42.0           14.2            6.4          1.000          0.986       1111.000          200.8            1.2          650.0          0.000            0.0          0.000            0.0
     01/05/1980        128.423          0.177           43.4           14.7            6.6          1.000          0.985       1111.000          200.8            1.2          650.0          0.000            0.0          0.000            0.0
     02/05/1980        128.001          0.181           44.9           15.2            6.8          1.000          0.988       1111.000          200.9            1.2          650.0          0.000            0.0          0.000            0.0
     03/05/1980        129.256          0.183           45.9           15.5            7.0          1.000          0.987       1111.000          200.9            1.2          650.0          0.000            0.0          0.000            0.0
     04/05/1980        127.503          0.187           47.4           16.0            7.2          1.000          0.992       1111.000          201.0            1.2          650.0          0.000            0.0          0.000            0.0
     05/05/1980        127.699          0.191           48.9           16.5            7.5          1.000          0.987       1111.000          201.0            1.2          650.0          0.000            0.0          0.000            0.0
     06/05/1980        126.874          0.195           50.5           17.1            7.7          1.000          0.988       1111.000          201.1            1.2          650.0          0.000            0.0          0.000            0.0
     07/05/1980        126.429          0.199           52.1           17.6            7.9          1.000          0.987       1111.000          201.1            1.2          650.0          0.000            0.0          0.000            0.0
     08/05/1980        126.174          0.200           52.7           17.8            8.0          1.000          0.988       1111.000          201.2            1.2          650.0          0.000            0.0          0.000            0.0
     09/05/1980        126.121          0.201           53.2           18.0            8.1          1.000          0.996       1111.000          201.3            1.2          650.0          0.000            0.0          0.000            0.0
     10/05/1980        126.286          0.204           54.6           18.5            8.3          1.000          0.996       1111.000          201.3            1.2          650.0          0.000            0.0          0.000            0.0
     11/05/1980        125.516          0.209           56.4           19.1            8.6          1.000          0.990       1111.000          201.4            1.2          650.0          0.000            0.0          0.000            0.0
     12/05/1980        125.065          0.213           58.2           19.7            8.9          1.000          0.987       1111.000          201.4            1.2          650.0          0.000            0.0          0.000            0.0
     13/05/1980        124.641          0.217           59.9           20.3            9.1          1.000          0.987       1111.000          201.4            1.2          650.0          0.000            0.0          0.000            0.0
     14/05/1980        124.180          0.221           61.7           20.9            9.4          1.000          0.989       1111.000          201.5            1.2          650.0          0.000            0.0          0.000            0.0
     15/05/1980        123.756          0.226           63.5           21.5            9.7          1.000          0.988       1111.000          201.5            1.2          650.0          0.000            0.0          0.000            0.0
     16/05/1980        123.356          0.229           65.1           22.0            9.9          1.000          0.988       1111.000          201.5            1.2          650.0          0.000            0.0          0.000            0.0
     17/05/1980        150.119          0.233           66.9           22.6           10.2          1.000          0.990       1111.000          204.8            3.2          740.0          0.000            0.0         30.013            3.0
     18/05/1980        146.998          0.237           68.3           23.1           10.4          1.000          0.989       1111.000          205.2            2.6          740.0          0.000            0.0          0.000            0.0
     19/05/1980        145.376          0.240           69.8           23.6           10.6          1.000          0.991       1111.000          205.5            2.2          740.0          0.000            0.0          0.000            0.0
     20/05/1980        144.068          0.244           71.6           24.2           10.9          1.000          0.991       1111.000          205.7            1.9          740.0          0.000            0.0          0.000            0.0
     21/05/1980        143.055          0.246           72.7           24.6           11.1          1.000          0.989       1111.000          205.9            1.7          740.0          0.000            0.0          0.000            0.0
     22/05/1980        142.217          0.247           72.9           24.6           11.1          1.000          0.994       1111.000          206.0            1.6          740.0          0.000            0.0          0.000            0.0
     23/05/1980        141.371          0.249           73.9           25.0           11.3          1.000          0.999       1111.000          206.2            1.5          740.0          0.000            0.0          0.000            0.0
     24/05/1980        140.547          0.252           75.3           25.5           11.5          1.000          0.994       1111.000          206.2            1.4          740.0          0.000            0.0          0.000            0.0
     25/05/1980        139.710          0.255           76.9           26.0           11.7          1.000          0.993       1111.000          206.3            1.4          740.0          0.000            0.0          0.000            0.0
     26/05/1980        138.968          0.258           78.3           26.5           11.9          1.000          0.992       1111.000          206.4            1.4          740.0          0.000            0.0          0.000            0.0
     27/05/1980        138.274          0.261           79.8           27.0           12.2          1.000          0.992       1111.000          206.4            1.3          740.0          0.000            0.0          0.000            0.0
     28/05/1980        171.856          0.263           80.5           27.2           12.3          1.000          0.992       1111.000          205.6            1.2          740.0          0.000            0.0          0.000            0.0
     29/05/1980        189.415          0.264           81.3           27.5           12.4          1.000          0.997       1111.000          204.7            1.1          740.0          0.000            0.0          0.000            0.0
     30/05/1980        187.169          0.267           82.6           27.9           12.6          1.000          0.996       1111.000          204.0            1.1          740.0          0.000            0.0          0.000            0.0
     31/05/1980        185.336          0.271           84.3           28.5           12.9          1.000          0.994       1111.000          203.5            1.1          740.0          0.000            0.0          0.000            0.0
     01/06/1980        182.692          0.274           86.0           29.1           13.1          1.000          0.992       1111.000          203.1            1.1          740.0          0.000            0.0          0.000            0.0
     02/06/1980        181.239          0.276           87.1           29.4           13.3          1.000          0.992       1111.000          202.9            1.1          740.0          0.000            0.0          0.000            0.0
     03/06/1980        180.079          0.278           88.2           29.8           13.4          1.000          0.995       1111.000          202.8            1.1          740.0          0.000            0.0          0.000            0.0
     04/06/1980        179.122          0.279           88.7           30.0           13.5          1.000          0.995       1111.000          202.7            1.1          740.0          0.000            0.0          0.000            0.0
     05/06/1980        178.252          0.281           89.6           30.3           13.7          1.000          0.997       1111.000          202.7            1.1          740.0          0.000            0.0          0.000            0.0
     06/06/1980        177.442          0.283           90.6           30.6           13.8          1.000          0.996       1111.000          202.7            1.1          740.0          0.000            0.0          0.000            0.0
     07/06/1980        176.674          0.285           91.7           31.0           14.0          1.000          0.996       1111.000          202.7            1.1          740.0          0.000            0.0          0.000            0.0
     08/06/1980        175.883          0.288           93.2           31.5           14.2          1.000          0.995       1111.000          202.7            1.1          740.0          0.000            0.0          0.000            0.0
     09/06/1980        175.076          0.292           95.0           32.1           14.5          1.000          0.993       1111.000          202.7            1.1          740.0          0.000            0.0          0.000            0.0
     10/06/1980        176.255          0.294           96.1           32.5           14.7          1.000          0.992       1111.000          202.7            1.1          740.0          0.000            0.0          0.000            0.0
     11/06/1980        174.637          0.295           96.9           32.8           14.8          1.000          0.995       1111.000          202.7            1.1          740.0          0.000            0.0          0.000            0.0
