ApsimVersion = 7.0
Title = Potato
           Date        biomass            lai    LeafGreenWt    StemGreenWt   TuberGreenWt          st(1)         plants        node_no     node_no_fx     LeafGreenN
             ()        (kg/ha)      (m^2/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (oC)   (plants/m^2)       (/plant)       (/plant)        (g/m^2)
     06/06/1988            0.0          0.000           0.00           0.00           0.00         19.811          5.000          0.000          0.000           0.00
     07/06/1988            0.0          0.000           0.00           0.00           0.00         18.855          5.000          0.000          0.000           0.00
     08/06/1988            0.0          0.000           0.00           0.00           0.00         17.849          5.000          0.000          0.000           0.00
     09/06/1988            0.0          0.000           0.00           0.00           0.00         17.501          5.000          0.000          0.000           0.00
     10/06/1988            0.0          0.000           0.00           0.00           0.00         16.752          5.000          0.000          0.000           0.00
     11/06/1988            0.0          0.000           0.00           0.00           0.00         16.416          5.000          0.000          0.000           0.00
     12/06/1988            0.0          0.000           0.00           0.00           0.00         16.080          5.000          0.000          0.000           0.00
     13/06/1988            0.0          0.000           0.00           0.00           0.00         15.813          5.000          0.000          0.000           0.00
     14/06/1988            1.5          0.830           0.15           0.00           0.00         15.354          5.000          2.000          1.000           0.01
     15/06/1988           29.3          0.867           2.34           0.59           0.00         14.913          5.000          2.000          1.000           0.11
     16/06/1988           29.3          0.867           2.34           0.59           0.00         14.975          5.000          2.000          1.000           0.13
     17/06/1988           29.3          0.867           2.34           0.59           0.00         15.662          5.000          2.000          1.000           0.14
     18/06/1988           74.0          0.892           4.83           2.57           0.00         16.115          5.000          2.000          1.000           0.25
     19/06/1988           74.0          0.892           4.83           2.57           0.00         16.487          5.000          3.000          1.000           0.28
     20/06/1988          116.6          0.914           7.09           4.57           0.00         17.022          5.000          3.000          1.000           0.40
     21/06/1988          143.6          0.932           8.81           5.56           0.00         17.419          5.000          3.000          1.000           0.50
     22/06/1988          186.5          0.949          10.56           8.09           0.00         17.129          5.000          3.000          1.000           0.61
     23/06/1988          235.9          0.972          12.82          10.77           0.00         17.243          5.000          3.000          1.000           0.74
     24/06/1988          289.6          0.999          15.52          13.44           0.00         17.466          5.000          4.000          1.000           0.90
     25/06/1988          346.4          1.037          19.38          15.26           0.00         17.542          5.000          4.000          1.000           1.11
     26/06/1988          410.6          1.076          23.30          17.76           0.00         17.639          5.000          4.000          1.000           1.33
     27/06/1988          482.1          1.116          27.26          20.95           0.00         18.342          5.000          4.000          1.000           1.57
     28/06/1988          545.3          1.146          30.26          24.27           0.00         18.502          5.000          4.000          1.000           1.77
     29/06/1988          583.3          1.170          32.61          25.72           0.00         17.709          5.000          5.000          2.000           1.91
     30/06/1988          632.1          1.194          35.06          28.15           0.00         17.179          5.000          5.000          2.000           2.07
     01/07/1988          686.0          1.224          38.01          30.59           0.00         16.781          5.000          5.000          2.000           2.24
     02/07/1988          755.4          1.263          41.96          33.58           0.00         16.578          5.000          5.000          2.000           2.46
     03/07/1988          787.5          1.302          43.93          34.83           0.00         16.195          5.000          5.000          2.000           2.59
     04/07/1988          816.4          1.301          44.16          35.98           0.00         16.489          5.000          6.000          2.000           2.61
     05/07/1988          851.2          1.315          44.48          37.41           0.00         16.711          5.000          6.000          3.000           2.62
     06/07/1988          904.9          1.269          44.67          39.68           0.00         16.620          5.000          6.000          3.000           2.60
     07/07/1988          959.6          1.217          44.46          42.04           0.00         16.259          5.000          6.000          3.000           2.57
     08/07/1988         1000.3          1.170          43.72          43.85           0.00         16.065          5.000          6.000          3.000           2.53
     09/07/1988         1063.4          1.119          43.68          46.69           0.00         16.459          5.000          7.000          3.000           2.51
     10/07/1988         1108.3          1.075          42.84          48.37           2.52         16.895          5.000          7.000          4.000           2.48
     11/07/1988         1132.7          1.040          41.12          49.29           3.91         16.759          5.000          7.000          4.000           2.29
     12/07/1988         1176.7          0.979          39.47          50.94           6.46         17.159          5.000          7.000          4.000           2.12
     13/07/1988         1217.3          0.915          37.74          52.47           8.85         17.961          5.000          7.000          4.000           2.00
     14/07/1988         1254.1          0.843          35.27          53.86          11.04         18.239          5.000          8.000          4.000           1.86
     15/07/1988         1289.6          0.802          33.77          55.20          13.19         18.166          5.000          8.000          4.000           1.77
     16/07/1988         1319.8          0.789          33.25          56.33          15.04         18.644          5.000          8.000          5.000           1.75
     17/07/1988         1352.4          0.776          33.33          57.57          17.07         18.501          5.000          8.000          5.000           1.74
     18/07/1988         1380.1          0.778          33.98          58.61          18.82         18.081          5.000          9.000          5.000           1.78
     19/07/1988         1412.7          0.787          34.79          59.85          20.91         18.016          5.000          9.000          5.000           1.82
     20/07/1988         1449.4          0.796          35.83          61.24          23.29         18.282          5.000          9.000          5.000           1.87
     21/07/1988         1488.6          0.806          36.90          62.73          25.88         18.760          5.000          9.000          5.000           1.92
     22/07/1988         1506.7          0.814          36.85          63.42          27.09         18.353          5.000          9.000          5.000           1.94
     23/07/1988         1525.0          0.828          37.08          64.11          28.33         17.693          5.000         10.000          5.000           1.96
     24/07/1988         1550.1          0.864          37.84          65.07          30.04         17.038          5.000         10.000          5.000           1.99
     25/07/1988         1582.2          0.921          39.27          66.29          32.27         16.591          5.000         10.000          6.000           2.06
     26/07/1988         1621.4          0.965          40.27          67.78          35.01         16.194          5.000         10.000          6.000           2.10
     27/07/1988         1644.0          0.993          40.81          68.64          36.62         15.866          5.000         10.000          6.000           2.14
     28/07/1988         1674.6          1.033          41.66          69.81          38.80         16.415          5.000         10.000          6.000           2.18
     29/07/1988         1709.0          1.076          42.53          71.12          41.30         16.749          5.000         11.000          6.000           2.22
     30/07/1988         1749.3          1.130          43.76          72.66          44.26         16.736          5.000         11.000          6.000           2.27
