ApsimVersion = 7.5
Title = TemperateGrass daily
           Date           year            day      phenology         growth        leaf_dm        stem_dm      litter_dm          rtdep         urea()     CoverTotal   uptake_nh4()          nh4()   uptake_no3()          no3()      nit_tot()       glf_nitr         glf_sm        glf_tmp        glf_vpd     removed_dm       avail_dm
   (dd/mm/yyyy)         (year)          (day)            (-)      (kg/ha/d)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)             ()      (kg/ha/d)        (kg/ha)      (kg/ha/d)        (kg/ha)        (kg/ha)            (-)            (-)            (-)            (-)             ()        (kg/ha)
     10/04/1954           1954            100          0.142          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           25.5          0.000           87.9         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     11/04/1954           1954            101          0.145          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           25.8          0.000           87.9         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     12/04/1954           1954            102          0.147          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           26.1          0.000           88.0         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     13/04/1954           1954            103          0.150          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           26.5          0.000           88.1         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     14/04/1954           1954            104          0.153          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           26.8          0.000           88.2         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     15/04/1954           1954            105          0.154          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           27.1          0.000           88.3         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     16/04/1954           1954            106          0.158          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           27.4          0.000           88.4         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     17/04/1954           1954            107          0.168          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           27.7          0.000           88.5         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     18/04/1954           1954            108          0.181          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           28.0          0.000           88.6         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     19/04/1954           1954            109          0.184          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           28.2          0.000           88.7         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     20/04/1954           1954            110          0.188          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           28.5          0.000           88.8         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     21/04/1954           1954            111          0.191          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           28.8          0.000           88.9         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     22/04/1954           1954            112          0.195          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           29.1          0.000           89.0         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     23/04/1954           1954            113          0.198          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           29.4          0.000           89.2         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     24/04/1954           1954            114          0.202          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           29.6          0.000           89.3         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     25/04/1954           1954            115          0.207          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           29.9          0.000           89.4         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     26/04/1954           1954            116          0.211          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           30.2          0.000           89.6         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     27/04/1954           1954            117          0.215          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           30.5          0.000           89.7         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     28/04/1954           1954            118          0.217          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           30.7          0.000           89.9         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     29/04/1954           1954            119          0.220          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           31.0          0.000           90.0         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     30/04/1954           1954            120          0.223          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           31.3          0.000           90.2         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     01/05/1954           1954            121          0.230          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           31.6          0.000           90.3         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     02/05/1954           1954            122          0.244          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           31.8          0.000           90.4         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     03/05/1954           1954            123          0.261          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           32.0          0.000           90.5         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     04/05/1954           1954            124          0.265          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           32.2          0.000           90.6         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     05/05/1954           1954            125          0.278          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           32.4          0.000           90.7         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     06/05/1954           1954            126          0.293          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           32.6          0.000           90.9         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     07/05/1954           1954            127          0.310          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           32.8          0.000           91.0         7952.3          0.000          0.000          0.000          0.000              ?            0.0
     08/05/1954           1954            128          0.313          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           32.8          0.000           91.0         7952.4          0.000          0.000          0.000          0.000              ?            0.0
     09/05/1954           1954            129          0.325          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           33.0          0.000           91.1         7952.5          0.000          0.000          0.000          0.000              ?            0.0
     10/05/1954           1954            130          0.346          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           33.1          0.000           91.1         7952.5          0.000          0.000          0.000          0.000              ?            0.0
     11/05/1954           1954            131          0.367          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           33.3          0.000           91.1         7952.5          0.000          0.000          0.000          0.000              ?            0.0
     12/05/1954           1954            132          0.380          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           33.4          0.000           91.2         7952.5          0.000          0.000          0.000          0.000              ?            0.0
     13/05/1954           1954            133          0.386          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           33.6          0.000           91.2         7952.6          0.000          0.000          0.000          0.000              ?            0.0
     14/05/1954           1954            134          0.394          0.000            0.0            0.0            0.0          0.000            0.0              ?          0.000           33.8          0.000           91.3         7952.6          0.000          0.000          0.000          0.000              ?            0.0
     15/05/1954           1954            135          0.005          3.493           41.7           13.9            0.0         20.590            0.0              ?          0.000           34.1          0.000           91.4         7952.6          1.000          1.000          1.000          0.842              ?            0.0
     16/05/1954           1954            136          0.009          4.448           43.8           15.3            0.0         42.456            0.0              ?          0.000           34.3          0.000           91.4         7952.6          1.000          1.000          1.000          0.984              ?            0.0
     17/05/1954           1954            137          0.023          4.051           47.0           16.5            0.0         64.612            0.0              ?          0.000           34.6          0.000           91.6         7952.6          1.000          1.000          1.000          0.829              ?            0.0
     18/05/1954           1954            138          0.036          5.276           50.0           17.5            0.0         82.244            0.0              ?          0.000           34.8          0.000           91.7         7952.6          1.000          1.000          1.000          0.993              ?            0.0
     19/05/1954           1954            139          0.057          5.647           53.9           18.9            0.0         98.310            0.0              ?          0.000           35.0          0.000           91.8         7952.6          1.000          1.000          1.000          1.000              ?            0.0
     20/05/1954           1954            140          0.078          6.100           58.0           20.4            0.0        111.128            0.0              ?          0.000           35.2          0.000           91.8         7952.6          1.000          1.000          1.000          1.000              ?            0.0
     21/05/1954           1954            141          0.114          6.586           62.5           22.1            0.0        120.940            0.0              ?          0.000           35.3          0.000           91.9         7952.6          1.000          1.000          1.000          1.000              ?            0.0
     22/05/1954           1954            142          0.154          6.576           67.3           23.8            0.0        129.021            0.0              ?          0.000           35.5          0.000           92.0         7952.6          1.000          1.000          1.000          0.946              ?            0.1
     23/05/1954           1954            143          0.180          5.546           72.2           25.6            0.0        137.635            0.0              ?          0.000           35.6          0.000           92.0         7952.6          1.000          1.000          1.000          0.787              ?            0.1
     24/05/1954           1954            144          0.195          5.965           76.2           27.1            0.0        149.179            0.0              ?          0.000           35.7          0.000           92.1         7952.6          1.000          1.000          1.000          0.823              ?            0.1
     25/05/1954           1954            145          0.204          6.916           80.6           28.6            0.0        162.454            0.0              ?          0.000           35.9          0.000           92.2         7952.6          1.000          1.000          1.000          0.904              ?            0.1
