ApsimVersion = 7.10
Title = Maize P
           Date            esw            day           year          yield         stover        biomass            lai    pfact_photo    nfact_photo    swdef_photo
   (dd/mm/yyyy)           (mm)          (day)         (year)        (kg/ha)        (kg/ha)        (kg/ha)        (m2/m2)             ()             ()             ()
     10/03/1989         40.244             69           1989            0.0         5958.2         5958.2          1.525          1.000          0.941          0.551
     11/03/1989         37.418             70           1989            0.0         6056.1         6056.1          1.525          1.000          0.941          0.538
     12/03/1989         34.805             71           1989            0.0         6155.6         6155.6          1.525          1.000          0.941          0.559
     13/03/1989         32.390             72           1989            0.0         6233.2         6233.2          1.525          1.000          0.941          0.437
     14/03/1989         30.156             73           1989            0.0         6312.8         6312.8          1.499          1.000          0.942          0.490
     15/03/1989         28.145             74           1989            0.0         6375.8         6375.8          1.451          1.000          0.943          0.383
     16/03/1989         39.619             75           1989            0.0         6457.1         6457.1          1.408          1.000          0.945          1.000
     17/03/1989         41.001             76           1989            0.0         6521.3         6521.3          1.373          1.000          0.946          1.000
     18/03/1989         39.427             77           1989            0.0         6608.7         6608.7          1.339          1.000          0.948          1.000
     19/03/1989         36.736             78           1989            8.4         6719.6         6728.1          1.301          1.000          0.949          1.000
     20/03/1989         33.057             79           1989           27.8         6833.6         6861.4          1.261          1.000          0.951          0.958
     21/03/1989         29.503             80           1989           58.6         6887.5         6946.1          1.214          1.000          0.953          0.564
     22/03/1989         26.246             81           1989          102.9         6887.5         6990.4          1.165          1.000          0.954          0.477
     23/03/1989         23.021             82           1989          167.9         6870.3         7038.2          1.109          1.000          0.957          0.340
     24/03/1989         21.098             83           1989          252.2         6832.0         7084.2          1.051          1.000          0.959          0.349
     25/03/1989         24.000             84           1989          331.2         6834.5         7165.7          0.999          1.000          0.961          1.000
     26/03/1989         65.817             85           1989          393.3         6822.5         7215.8          0.958          1.000          0.963          1.000
     27/03/1989         84.305             86           1989          456.2         6831.6         7287.8          0.916          1.000          0.964          1.000
     28/03/1989         83.265             87           1989          516.6         6860.0         7376.6          0.876          1.000          0.966          1.000
     29/03/1989         81.025             88           1989          578.3         6881.8         7460.1          0.829          1.000          0.968          1.000
     30/03/1989         79.579             89           1989          640.8         6881.9         7522.7          0.781          1.000          0.970          1.000
     31/03/1989         78.389             90           1989          702.9         6873.2         7576.1          0.734          1.000          0.971          1.000
     01/04/1989         77.136             91           1989          765.8         6863.0         7628.8          0.686          1.000          0.973          1.000
     02/04/1989         79.209             92           1989          824.6         6829.5         7654.1          0.642          1.000          0.975          1.000
     03/04/1989         81.750             93           1989          885.3         6797.1         7682.4          0.596          1.000          0.977          1.000
     04/04/1989         81.061             94           1989          948.7         6776.1         7724.8          0.548          1.000          0.979          1.000
     05/04/1989         79.640             95           1989         1015.3         6764.8         7780.2          0.497          1.000          0.981          1.000
     06/04/1989         78.059             96           1989         1079.6         6752.2         7831.7          0.448          1.000          0.982          1.000
     07/04/1989         76.441             97           1989         1140.8         6736.4         7877.2          0.399          1.000          0.982          1.000
     08/04/1989         74.544             98           1989         1203.7         6720.4         7924.1          0.347          1.000          0.982          1.000
     09/04/1989         72.567             99           1989         1262.5         6704.7         7967.2          0.299          1.000          0.982          1.000
     10/04/1989         70.682            100           1989         1323.6         6679.9         8003.5          0.248          1.000          0.975          1.000
     11/04/1989         70.046            101           1989         1380.9         6641.7         8022.5          0.201          1.000          0.968          1.000
     12/04/1989         71.914            102           1989         1444.0         6600.3         8044.2          0.149          1.000          0.963          1.000
     13/04/1989         70.594            103           1989         1501.7         6559.6         8061.3          0.102          1.000          0.964          1.000
     14/04/1989         68.918            104           1989         1555.8         6520.1         8075.9          0.057          1.000          0.974          1.000
     15/04/1989         67.703            105           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     16/04/1989         66.299            106           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     17/04/1989         64.897            107           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     18/04/1989         63.695            108           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     19/04/1989         63.026            109           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     20/04/1989         62.438            110           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     21/04/1989         61.905            111           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     22/04/1989         61.415            112           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     23/04/1989         61.010            113           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     24/04/1989         86.644            114           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     25/04/1989         89.378            115           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     26/04/1989        134.023            116           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     27/04/1989        135.440            117           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     28/04/1989        134.681            118           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     29/04/1989        133.498            119           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     30/04/1989        132.365            120           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     01/05/1989        131.218            121           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     02/05/1989        130.064            122           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     03/05/1989        129.091            123           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     04/05/1989        127.961            124           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     05/05/1989        127.008            125           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     06/05/1989        126.152            126           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     07/05/1989        129.389            127           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     08/05/1989        147.320            128           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     09/05/1989        147.582            129           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     10/05/1989        146.912            130           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     11/05/1989        145.939            131           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     12/05/1989        144.926            132           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     13/05/1989        143.944            133           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     14/05/1989        143.057            134           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     15/05/1989        142.848            135           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     16/05/1989        144.000            136           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     17/05/1989        145.792            137           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     18/05/1989        146.349            138           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     19/05/1989        145.523            139           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     20/05/1989        144.674            140           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     21/05/1989        143.771            141           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     22/05/1989        142.863            142           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     23/05/1989        150.491            143           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     24/05/1989        149.502            144           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     25/05/1989        148.565            145           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     26/05/1989        148.211            146           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     27/05/1989        148.802            147           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     28/05/1989        147.922            148           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     29/05/1989        146.995            149           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     30/05/1989        146.108            150           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     31/05/1989        145.250            151           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     01/06/1989        147.653            152           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     02/06/1989        146.868            153           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     03/06/1989        146.023            154           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     04/06/1989        145.200            155           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     05/06/1989        145.836            156           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     06/06/1989        158.659            157           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     07/06/1989        158.319            158           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     08/06/1989        157.563            159           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     09/06/1989        157.355            160           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     10/06/1989        157.775            161           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     11/06/1989        157.214            162           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     12/06/1989        157.359            163           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     13/06/1989        156.774            164           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     14/06/1989        155.827            165           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     15/06/1989        154.905            166           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     16/06/1989        154.065            167           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     17/06/1989        153.395            168           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     18/06/1989        152.470            169           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     19/06/1989        151.709            170           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     20/06/1989        150.956            171           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     21/06/1989        150.311            172           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
     22/06/1989        149.704            173           1989            0.0            0.0            0.0          0.000          1.000          1.000          1.000
