ApsimVersion = 7.4
Title = TemperateGrassEstablished daily
           Date           year            day      phenology         growth        leaf_dm        stem_dm      litter_dm          rtdep         urea()      cover_tot   uptake_nh4()          nh4()   uptake_no3()          no3()      nit_tot()       glf_nitr         glf_sm        glf_tmp        glf_vpd     removed_dm       avail_dm
   (dd/mm/yyyy)         (year)          (day)            (-)      (kg/ha/d)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)      (m^2/m^2)      (kg/ha/d)        (kg/ha)      (kg/ha/d)        (kg/ha)        (kg/ha)            (-)            (-)            (-)            (-)             ()        (kg/ha)
     16/03/1954           1954             75          1.158          0.000         1327.7          494.3          448.1        589.835            0.0          0.752          0.351            7.6          0.287           55.1         7905.4          1.000          0.169          1.000          1.000         40.023         1022.9
     17/03/1954           1954             76          1.160          0.000         1313.2          492.2          439.5        589.835            0.0          0.749          0.322            7.4          0.265           54.8         7904.8          1.000          0.159          1.000          1.000         40.023         1013.6
     18/03/1954           1954             77          1.162          0.000         1299.2          490.2          431.1        589.835            0.0          0.746          0.302            7.3          0.250           54.6         7904.2          1.000          0.150          1.000          1.000         40.023         1004.7
     19/03/1954           1954             78          1.165          0.000         1280.3          487.3          422.8        589.835            0.0          0.742          0.276            7.2          0.230           54.3         7903.6          1.000          0.140          1.000          1.000         40.023          990.0
     20/03/1954           1954             79          1.166          0.000         1259.5          484.1          414.7        589.835            0.0          0.737          0.256            7.0          0.215           54.1         7903.1          1.000          0.133          1.000          1.000         40.023          973.0
     21/03/1954           1954             80          1.168          0.000         1245.2          481.8          406.7        589.835            0.0          0.734          0.240            6.9          0.204           53.9         7902.7          1.000          0.126          1.000          1.000         40.023          963.2
     22/03/1954           1954             81          1.170          0.000         1230.4          479.3          398.9        589.835            0.0          0.731          0.226            6.9          0.194           53.7         7902.2          1.000          0.119          1.000          1.000         40.023          952.7
     23/03/1954           1954             82          1.172          0.000         1210.6          475.9          391.3        589.835            0.0          0.726          0.210            6.8          0.183           53.5         7901.8          1.000          0.114          1.000          1.000         40.023          936.1
     24/03/1954           1954             83          1.173          0.000         1196.4          473.4          383.8        589.835            0.0          0.723          0.199            6.7          0.175           53.3         7901.4          1.000          0.108          1.000          1.000         40.023          925.9
     25/03/1954           1954             84          1.175          0.000         1181.3          470.6          376.4        589.835            0.0          0.719          0.188            6.6          0.168           53.1         7901.0          1.000          0.103          1.000          1.000         40.023          914.5
     26/03/1954           1954             85          1.178          0.000         1162.4          467.0          369.2        589.835            0.0          0.714          0.178            6.6          0.161           52.9         7900.7          1.000          0.098          1.000          1.000         40.023          898.3
     27/03/1954           1954             86          1.180          0.000         1141.7          462.8          362.2        589.835            0.0          0.709          0.168            6.5          0.154           52.8         7900.3          1.000          0.094          1.000          1.000         40.023          879.6
     28/03/1954           1954             87          1.182         44.077         1122.6          458.8          355.3        589.835            0.0          0.704          0.252            6.5          0.543           52.6         7900.0          1.000          1.000          1.000          0.777         40.023          862.5
     29/03/1954           1954             88          1.184          0.000         1147.1          471.2          348.6        601.505            0.0          0.718          0.167            6.3          0.151           52.1         7899.2          1.000          0.090          1.000          1.000         40.023          905.4
     30/03/1954           1954             89          1.186          0.000         1127.2          466.9          342.0        601.505            0.0          0.712          0.156            6.3          0.144           51.9         7898.9          1.000          0.086          1.000          1.000         40.023          887.0
     31/03/1954           1954             90          1.187          0.000         1111.6          463.4          335.6        601.505            0.0          0.709          0.149            6.2          0.138           51.8         7898.6          1.000          0.082          1.000          1.000         40.023          873.7
     01/04/1954           1954             91          1.189          0.000         1096.4          460.0          329.3        601.505            0.0          0.705          0.033            6.2          0.918           71.6         7918.3          1.000          0.079          1.000          1.000         40.023          860.7
     02/04/1954           1954             92          1.191          0.000         1081.2          456.3          323.2        601.505            0.0          0.702          0.027            6.3          0.698           70.7         7917.4          1.000          0.075          1.000          1.000         40.023          847.4
     03/04/1954           1954             93          1.193          0.000         1066.3          452.5          317.1        601.505            0.0          0.698          0.021            6.3          0.524           70.0         7916.6          1.000          0.073          1.000          1.000         40.023          834.0
     04/04/1954           1954             94          1.195          0.000         1051.8          448.6          311.3        601.505            0.0          0.695          0.016            6.4          0.406           69.5         7916.1          1.000          0.070          1.000          1.000         40.023          820.9
     05/04/1954           1954             95          1.196          0.000         1036.5          444.2          305.6        601.505            0.0          0.692          0.013            6.5          0.312           69.1         7915.7          1.000          0.067          1.000          1.000         40.023          806.4
     06/04/1954           1954             96          1.198          0.000         1020.9          439.5          300.0        601.505            0.0          0.688          0.010            6.5          0.235           68.8         7915.4          1.000          0.065          1.000          1.000         40.023          791.2
     07/04/1954           1954             97          1.200          0.000         1006.6          435.1          294.6        601.505            0.0          0.685          0.008            6.6          0.176           68.6         7915.1          1.000          0.063          1.000          1.000         40.023          777.5
     08/04/1954           1954             98          1.202          0.000          992.7          430.8          289.3        601.505            0.0          0.682          0.007            6.7          0.150           68.4         7914.9          1.000          0.061          1.000          1.000         40.023          764.1
     09/04/1954           1954             99          1.204          0.000          978.3          426.2          284.1        601.505            0.0          0.678          0.006            6.8          0.127           68.2         7914.8          1.000          0.059          1.000          1.000         40.023          749.9
     10/04/1954           1954            100          1.206          0.000          965.0          421.8          279.1        601.505            0.0          0.676          0.005            6.9          0.109           68.1         7914.6          1.000          0.058          1.000          1.000         40.023          736.8
     11/04/1954           1954            101          1.208          0.000          951.3          417.1          274.2        601.505            0.0          0.673          0.004            7.0          0.094           68.0         7914.5          1.000          0.056          1.000          1.000         40.023          723.0
     12/04/1954           1954            102          1.209          0.000          939.8          413.2          269.4        601.505            0.0          0.671          0.004            7.1          0.082           67.9         7914.4          1.000          0.055          1.000          1.000         40.023          712.0
     13/04/1954           1954            103          1.211          0.000          928.4          409.3          268.2        601.505            0.0          0.669          0.002            7.1          0.073           67.8         7914.3          1.000          0.054          1.000          1.000         40.023          701.0
     14/04/1954           1954            104          1.213          0.000          917.9          405.5          263.7        601.505            0.0          0.667          0.002            7.2          0.064           67.7         7914.3          1.000          0.053          1.000          1.000         40.023          690.6
     15/04/1954           1954            105          1.215          0.000          907.4          401.8          259.3        601.505            0.0          0.665          0.002            7.3          0.056           67.7         7914.2          1.000          0.053          1.000          1.000         40.023          680.2
     16/04/1954           1954            106          1.216          0.000          896.6          397.7          255.0        601.505            0.0          0.663          0.002            7.4          0.050           67.6         7914.1          1.000          0.052          1.000          1.000         40.023          669.0
     17/04/1954           1954            107          1.217          0.000          887.8          394.5          255.3        601.505            0.0          0.663          0.001            7.4          0.046           67.6         7914.1          1.000          0.052          1.000          1.000         40.023          660.8
