ApsimVersion = 7.10
Title = Wether in pasture crop rotation_WheatPaddock_DailyOutput.out
             Date          biomass    green_biomass animals_paddock[1] animals_paddock[2] animals_paddock[3]        cover_tot  surfaceom_cover
     (dd/MM/yyyy)          (kg/ha)          (kg/ha)                 ()                 ()                 ()               ()        (m^2/m^2)
       12/07/1990           109.40           108.92     pasturepaddock                  ?                  ?             0.09             0.05
       13/07/1990           113.73           113.13     pasturepaddock                  ?                  ?             0.09             0.05
       14/07/1990           121.77           121.01     pasturepaddock                  ?                  ?             0.10             0.05
       15/07/1990           132.73           131.80     pasturepaddock                  ?                  ?             0.11             0.05
       16/07/1990           143.24           142.11     pasturepaddock                  ?                  ?             0.11             0.05
       17/07/1990           154.47           153.14     pasturepaddock                  ?                  ?             0.12             0.05
       18/07/1990           158.97           157.43     pasturepaddock                  ?                  ?             0.12             0.05
       19/07/1990           164.23           162.57     pasturepaddock                  ?                  ?             0.13             0.05
       20/07/1990           171.18           169.37     pasturepaddock                  ?                  ?             0.13             0.05
       21/07/1990           180.92           178.97     pasturepaddock                  ?                  ?             0.14             0.05
       22/07/1990           190.10           187.98     pasturepaddock                  ?                  ?             0.15             0.05
       23/07/1990           211.64           209.31     pasturepaddock                  ?                  ?             0.16             0.05
       24/07/1990           219.53           216.97     pasturepaddock                  ?                  ?             0.17             0.05
       25/07/1990           241.88           239.13     pasturepaddock                  ?                  ?             0.18             0.05
       26/07/1990           262.91           259.99     pasturepaddock                  ?                  ?             0.19             0.05
       27/07/1990           279.64           276.59     pasturepaddock                  ?                  ?             0.20             0.05
       28/07/1990           299.88           296.63     pasturepaddock                  ?                  ?             0.22             0.05
       29/07/1990           322.30           318.84     pasturepaddock                  ?                  ?             0.23             0.05
       30/07/1990           340.33           336.70     pasturepaddock                  ?                  ?             0.24             0.05
       31/07/1990           367.38           363.53     pasturepaddock                  ?                  ?             0.26             0.05
       01/08/1990           378.41           374.31     pasturepaddock                  ?                  ?             0.26             0.05
       02/08/1990           417.38           412.90     pasturepaddock                  ?                  ?             0.29             0.05
       03/08/1990           466.67           461.84     pasturepaddock                  ?                  ?             0.31             0.05
       04/08/1990           489.80           484.65     pasturepaddock                  ?                  ?             0.33             0.05
       05/08/1990           521.86           516.35     pasturepaddock                  ?                  ?             0.34             0.05
       06/08/1990           553.69           547.85     pasturepaddock                  ?                  ?             0.36             0.05
       07/08/1990           579.80           573.68     pasturepaddock                  ?                  ?             0.37             0.05
       08/08/1990           605.43           598.96     pasturepaddock                  ?                  ?             0.38             0.05
       09/08/1990           646.01           639.15     pasturepaddock                  ?                  ?             0.40             0.04
       10/08/1990           678.32           671.14     pasturepaddock                  ?                  ?             0.42             0.04
       11/08/1990           704.22           696.45     pasturepaddock                  ?                  ?             0.43             0.04
       12/08/1990           743.41           734.44     pasturepaddock                  ?                  ?             0.45             0.04
       13/08/1990           783.14           773.08     pasturepaddock                  ?                  ?             0.46             0.04
       14/08/1990           851.30           839.67     pasturepaddock                  ?                  ?             0.49             0.04
       15/08/1990           896.51           883.38     pasturepaddock                  ?                  ?             0.51             0.04
       16/08/1990           962.52           947.81     pasturepaddock                  ?                  ?             0.53             0.04
       17/08/1990          1040.47          1024.31     pasturepaddock                  ?                  ?             0.56             0.04
       18/08/1990          1103.03          1085.63     pasturepaddock                  ?                  ?             0.58             0.04
       19/08/1990          1169.90          1151.31     pasturepaddock                  ?                  ?             0.60             0.04
       20/08/1990          1228.40          1207.94     pasturepaddock                  ?                  ?             0.61             0.04
       21/08/1990          1279.42          1257.53       wheatpaddock                  ?                  ?             0.62             0.04
       22/08/1990          1310.69          1287.72       wheatpaddock                  ?                  ?             0.63             0.04
       23/08/1990          1367.80          1343.95       wheatpaddock                  ?                  ?             0.64             0.04
       24/08/1990          1441.72          1416.57       wheatpaddock                  ?                  ?             0.65             0.04
       25/08/1990          1465.52          1439.38       wheatpaddock                  ?                  ?             0.66             0.04
       26/08/1990          1523.75          1496.78       wheatpaddock                  ?                  ?             0.67             0.04
       27/08/1990          1602.89          1574.80       wheatpaddock                  ?                  ?             0.69             0.04
       28/08/1990          1726.07          1696.47       wheatpaddock                  ?                  ?             0.71             0.04
       29/08/1990          1741.99          1710.89       wheatpaddock                  ?                  ?             0.71             0.03
       30/08/1990          1827.16          1793.96       wheatpaddock                  ?                  ?             0.72             0.03
       31/08/1990          1931.61          1896.31       wheatpaddock                  ?                  ?             0.74             0.03
       01/09/1990          2043.04          2006.11       wheatpaddock                  ?                  ?             0.75             0.03
       02/09/1990          2107.98          2069.86       wheatpaddock                  ?                  ?             0.76             0.03
       03/09/1990          2161.07          2121.52       wheatpaddock                  ?                  ?             0.77             0.03
       04/09/1990          2280.09          2239.11       wheatpaddock                  ?                  ?             0.78             0.03
       05/09/1990          2410.09          2366.82     pasturepaddock                  ?                  ?             0.79             0.03
       06/09/1990          2541.84          2496.21     pasturepaddock                  ?                  ?             0.81             0.03
       07/09/1990          2690.55          2641.88     pasturepaddock                  ?                  ?             0.82             0.03
       08/09/1990          2871.32          2820.21     pasturepaddock                  ?                  ?             0.83             0.03
