ApsimVersion = 7.9
Title = Vensim
           Date            st1            sw1      daily_htt        sum_htt
   (dd/mm/yyyy)             ()             ()             ()             ()
     03/11/1988          0.000          0.000         20.000       6160.000
     04/11/1988          0.000          0.000         20.000       6180.000
     05/11/1988          0.000          0.000         20.000       6200.000
     06/11/1988          0.000          0.000         20.000       6220.000
     07/11/1988          0.000          0.000         20.000       6240.000
     08/11/1988          0.000          0.000         20.000       6260.000
     09/11/1988          0.000          0.000         20.000       6280.000
     10/11/1988          0.000          0.000         20.000       6300.000
     11/11/1988          0.000          0.000         20.000       6320.000
     12/11/1988          0.000          0.000         20.000       6340.000
     13/11/1988          0.000          0.000         20.000       6360.000
     14/11/1988          0.000          0.000         20.000       6380.000
     15/11/1988          0.000          0.000         20.000       6400.000
     16/11/1988          0.000          0.000         20.000       6420.000
     17/11/1988          0.000          0.000         20.000       6440.000
     18/11/1988          0.000          0.000         20.000       6460.000
     19/11/1988          0.000          0.000         20.000       6480.000
     20/11/1988          0.000          0.000         20.000       6500.000
     21/11/1988          0.000          0.000         20.000       6520.000
     22/11/1988          0.000          0.000         20.000       6540.000
     23/11/1988          0.000          0.000         20.000       6560.000
     24/11/1988          0.000          0.000         20.000       6580.000
     25/11/1988          0.000          0.000         20.000       6600.000
     26/11/1988          0.000          0.000         20.000       6620.000
     27/11/1988          0.000          0.000         20.000       6640.000
     28/11/1988          0.000          0.000         20.000       6660.000
     29/11/1988          0.000          0.000         20.000       6680.000
     30/11/1988          0.000          0.000         20.000       6700.000
     01/12/1988          0.000          0.000         20.000       6720.000
     02/12/1988          0.000          0.000         20.000       6740.000
     03/12/1988          0.000          0.000         20.000       6760.000
     04/12/1988          0.000          0.000         20.000       6780.000
     05/12/1988          0.000          0.000         20.000       6800.000
     06/12/1988          0.000          0.000         20.000       6820.000
     07/12/1988          0.000          0.000         20.000       6840.000
     08/12/1988          0.000          0.000         20.000       6860.000
     09/12/1988          0.000          0.000         20.000       6880.000
     10/12/1988          0.000          0.000         20.000       6900.000
     11/12/1988          0.000          0.000         20.000       6920.000
     12/12/1988          0.000          0.000         20.000       6940.000
     13/12/1988          0.000          0.000         20.000       6960.000
     14/12/1988          0.000          0.000         20.000       6980.000
     15/12/1988          0.000          0.000         20.000       7000.000
     16/12/1988          0.000          0.000         20.000       7020.000
     17/12/1988          0.000          0.000         20.000       7040.000
     18/12/1988          0.000          0.000         20.000       7060.000
     19/12/1988          0.000          0.000         20.000       7080.000
     20/12/1988          0.000          0.000         20.000       7100.000
     21/12/1988          0.000          0.000         20.000       7120.000
     22/12/1988          0.000          0.000         20.000       7140.000
     23/12/1988          0.000          0.000         20.000       7160.000
     24/12/1988          0.000          0.000         20.000       7180.000
     25/12/1988          0.000          0.000         20.000       7200.000
     26/12/1988          0.000          0.000         20.000       7220.000
     27/12/1988          0.000          0.000         20.000       7240.000
     28/12/1988          0.000          0.000         20.000       7260.000
     29/12/1988          0.000          0.000         20.000       7280.000
     30/12/1988          0.000          0.000         20.000       7300.000
     31/12/1988          0.000          0.000         20.000       7320.000
